,Name,position,called_by,date_start,date_end
89,Bruce R. McConkie,LDS Church Apostle,Harold B. Lee,1972-10-12,1985-04-19
89,Bruce R. McConkie,First Quorum of the Seventy,George Albert Smith,1946-10-06,1972-10-12
90,L. Tom Perry,Quorum of the Twelve Apostles,Spencer W. Kimball,1974-04-06,2015-05-30
90,L. Tom Perry,LDS Church Apostle,Spencer W. Kimball,1974-04-11,2015-05-30
90,L. Tom Perry,Assistant to the Quorum of the Twelve Apostles,Harold B. Lee,1972-10-06,1974-04-06
91,David B. Haight,Quorum of the Twelve Apostles,Spencer W. Kimball,1976-01-08,2004-07-31
91,David B. Haight,LDS Church Apostle,Spencer W. Kimball,1976-01-08,2004-07-31
91,David B. Haight,Assistant to the Quorum of the Twelve Apostles,Joseph Fielding Smith,1970-04-06,1976-01-08
92,James E. Faust,Assistant to the Quorum of the Twelve Apostles,Harold B. Lee,1972-10-06,1976-10-01
92,James E. Faust,First Quorum of the Seventy,Spencer W. Kimball,1976-10-01,1978-09-30
92,James E. Faust,Presidency of the Seventy,Spencer W. Kimball,1976-10-01,1978-09-30
92,James E. Faust,Quorum of the Twelve Apostles,Spencer W. Kimball,1978-09-30,1995-03-12
92,James E. Faust,Second Counselor in the First Presidency,Gordon B. Hinckley,1995-03-12,2007-08-10
92,James E. Faust,LDS Church Apostle,Spencer W. Kimball,1978-10-01,2007-08-10
93,Neal A. Maxwell,Quorum of the Twelve Apostles,Spencer W. Kimball,1981-07-23,2004-07-21
93,Neal A. Maxwell,LDS Church Apostle,Spencer W. Kimball,1981-07-23,2004-07-21
93,Neal A. Maxwell,Presidency of the Seventy,Spencer W. Kimball,1976-10-01,1981-07-23
93,Neal A. Maxwell,First Quorum of the Seventy,Spencer W. Kimball,1976-10-01,1981-07-23
93,Neal A. Maxwell,Assistant to the Quorum of the Twelve Apostles,Spencer W. Kimball,1974-04-06,1976-10-01
94,Russell M. Nelson,President of the Church,,2018-01-14,
94,Russell M. Nelson,President of the Quorum of the Twelve Apostles,,2015-07-03,2018-01-14
94,Russell M. Nelson,Quorum of the Twelve Apostles,Spencer W. Kimball,1984-04-07,2018-01-14
94,Russell M. Nelson,LDS Church Apostle,Spencer W. Kimball,1984-04-12,
95,Dallin H. Oaks,Quorum of the Twelve Apostles,Spencer W. Kimball,1984-05-03,2018-01-14
95,Dallin H. Oaks,LDS Church Apostle,Spencer W. Kimball,1984-05-03,
95,Dallin H. Oaks,President of the Quorum of the Twelve Apostles,,2018-01-14,
95,Dallin H. Oaks,First Counselor in the First Presidency,Russell M. Nelson,2018-01-14,
95,Dallin H. Oaks,[non-GA] President of BYU-Provo,Joseph Fielding Smith,1971-08-01,1980-08-01
96,M. Russell Ballard,Quorum of the Twelve Apostles,Spencer W. Kimball,1985-10-06,2023-11-12
96,M. Russell Ballard,LDS Church Apostle,Spencer W. Kimball,1985-10-10,
96,M. Russell Ballard,Presidency of the Seventy,Spencer W. Kimball,1980-02-21,1985-10-06
96,M. Russell Ballard,First Quorum of the Seventy,Spencer W. Kimball,1976-04-03,1985-10-06
96,M. Russell Ballard,Acting President of the Quorum of the Twelve Apostles,Russell M. Nelson,2018-01-14,
97,Joseph B. Wirthlin,Quorum of the Twelve Apostles,Ezra Taft Benson,1986-10-04,2008-12-01
97,Joseph B. Wirthlin,LDS Church Apostle,Ezra Taft Benson,1986-10-09,2008-12-01
97,Joseph B. Wirthlin,Presidency of the Seventy,Ezra Taft Benson,1986-08-28,1986-10-04
97,Joseph B. Wirthlin,First Quorum of the Seventy,Spencer W. Kimball,1976-10-01,1986-10-04
97,Joseph B. Wirthlin,Assistant to the Quorum of the Twelve Apostles,Spencer W. Kimball,1975-04-04,1976-10-01
98,Richard G. Scott,First Quorum of the Seventy,Spencer W. Kimball,1977-04-02,1988-10-01
98,Richard G. Scott,Presidency of the Seventy,Spencer W. Kimball,1983-10-01,1988-10-01
98,Richard G. Scott,Quorum of the Twelve Apostles,Ezra Taft Benson,1988-10-01,2015-09-22
98,Richard G. Scott,LDS Church Apostle,Ezra Taft Benson,1988-10-06,2015-09-22
99,Robert D. Hales,Quorum of the Twelve Apostles,Ezra Taft Benson,1994-04-02,2017-10-01
99,Robert D. Hales,LDS Church Apostle,Ezra Taft Benson,1994-04-07,2017-10-01
99,Robert D. Hales,Presiding Bishop,Spencer W. Kimball,1985-04-06,1994-04-02
99,Robert D. Hales,First Quorum of the Seventy,Spencer W. Kimball,1976-10-01,1985-04-06
99,Robert D. Hales,Assistant to the Quorum of the Twelve Apostles,Spencer W. Kimball,1975-04-04,1976-10-01
100,Jeffrey R. Holland,Quorum of the Twelve Apostles,Howard W. Hunter,1994-06-23,
100,Jeffrey R. Holland,LDS Church Apostle,Howard W. Hunter,1994-06-23,
100,Jeffrey R. Holland,First Quorum of the Seventy,Ezra Taft Benson,1989-04-01,1994-06-23
100,Jeffrey R. Holland,[non-GA] President of BYU-Provo,Spencer W. Kimball,1980-09-01,1989-03-31
101,Henry B. Eyring,First Counselor in the Presiding Bishopric,Robert D. Hales,1985-04-01,1992-10-03
101,Henry B. Eyring,First Quorum of the Seventy,Ezra Taft Benson,1992-10-03,1995-04-01
101,Henry B. Eyring,[non-GA] President of Ricks College,Joseph Fielding Smith,1971-08-01,1977-08-01
101,Henry B. Eyring,Quorum of the Twelve Apostles,Gordon B. Hinckley,1995-04-01,2007-10-06
101,Henry B. Eyring,Second Counselor in the First Presidency,Gordon B. Hinckley,2007-10-06,2008-01-27
101,Henry B. Eyring,Second Counselor in the First Presidency,Russell M. Nelson,2018-01-14,
101,Henry B. Eyring,First Counselor in the First Presidency,Thomas S. Monson,2008-02-03,2018-01-02
101,Henry B. Eyring,LDS Church Apostle,Gordon B. Hinckley,1995-04-06,
102,Dieter F. Uchtdorf,Quorum of the Twelve Apostles,,2018-01-02,
102,Dieter F. Uchtdorf,Second Counselor in the First Presidency,Thomas S. Monson,2008-02-03,2018-01-02
102,Dieter F. Uchtdorf,Quorum of the Twelve Apostles,Gordon B. Hinckley,2004-10-02,2008-02-03
102,Dieter F. Uchtdorf,LDS Church Apostle,Gordon B. Hinckley,2004-10-07,
102,Dieter F. Uchtdorf,Presidency of the Seventy,Gordon B. Hinckley,2002-08-15,2004-10-02
102,Dieter F. Uchtdorf,First Quorum of the Seventy,Gordon B. Hinckley,1996-04-07,2004-10-02
102,Dieter F. Uchtdorf,Second Quorum of the Seventy,Ezra Taft Benson,1994-04-02,1996-04-07
103,David A. Bednar,[non-GA] President of BYU-Idaho,Gordon B. Hinckley,1997-07-01,2004-10-01
103,David A. Bednar,Quorum of the Twelve Apostles,Gordon B. Hinckley,2004-10-02,
103,David A. Bednar,LDS Church Apostle,Gordon B. Hinckley,2004-10-07,
104,Quentin L. Cook,Presidency of the Seventy,Gordon B. Hinckley,2007-08-01,2007-10-06
104,Quentin L. Cook,First Quorum of the Seventy,Gordon B. Hinckley,1998-04-05,2007-10-06
104,Quentin L. Cook,Second Quorum of the Seventy,Gordon B. Hinckley,1996-04-06,1998-04-05
104,Quentin L. Cook,Quorum of the Twelve Apostles,Gordon B. Hinckley,2007-10-06,
104,Quentin L. Cook,LDS Church Apostle,Gordon B. Hinckley,2007-10-11,
105,D. Todd Christofferson,Quorum of the Twelve Apostles,Thomas S. Monson,2008-04-05,
105,D. Todd Christofferson,LDS Church Apostle,Thomas S. Monson,2008-04-10,
105,D. Todd Christofferson,Presidency of the Seventy,Gordon B. Hinckley,1998-08-15,2008-04-05
105,D. Todd Christofferson,First Quorum of the Seventy,Ezra Taft Benson,1993-04-03,2008-04-05
106,Neil L. Andersen,Quorum of the Twelve Apostles,Thomas S. Monson,2009-04-04,
106,Neil L. Andersen,LDS Church Apostle,Thomas S. Monson,2009-04-09,
106,Neil L. Andersen,Presidency of the Seventy,Gordon B. Hinckley,2005-08-15,2009-04-04
106,Neil L. Andersen,First Quorum of the Seventy,Ezra Taft Benson,1993-04-03,2009-04-04
107,Ronald A. Rasband,LDS Church Apostle,Thomas S. Monson,2015-10-08,
107,Ronald A. Rasband,Quorum of the Twelve Apostles,Thomas S. Monson,2015-10-03,
107,Ronald A. Rasband,First Quorum of the Seventy,Gordon B. Hinckley,2000-04-01,2015-10-03
107,Ronald A. Rasband,Presidency of the Seventy,Gordon B. Hinckley,2005-08-15,2015-10-03
108,Gary E. Stevenson,LDS Church Apostle,Thomas S. Monson,2015-10-08,
108,Gary E. Stevenson,Quorum of the Twelve Apostles,Thomas S. Monson,2015-10-03,
108,Gary E. Stevenson,First Quorum of the Seventy,Thomas S. Monson,2008-04-05,2012-03-31
108,Gary E. Stevenson,Presiding Bishop,Thomas S. Monson,2012-03-31,2015-10-09
109,Dale G. Renlund,LDS Church Apostle,Thomas S. Monson,2015-10-08,
109,Dale G. Renlund,Quorum of the Twelve Apostles,Thomas S. Monson,2015-10-03,
109,Dale G. Renlund,First Quorum of the Seventy,Thomas S. Monson,2009-04-04,2015-10-03
110,Gerrit W. Gong,Quorum of the Twelve Apostles,Russell M. Nelson,2018-03-31,
110,Gerrit W. Gong,LDS Church Apostle,Russell M. Nelson,2018-04-05,
110,Gerrit W. Gong,Presidency of the Seventy,Thomas S. Monson,2015-10-06,2018-03-31
110,Gerrit W. Gong,First Quorum of the Seventy,Thomas S. Monson,2010-04-03,2018-03-31
111,Ulisses Soares,LDS Church Apostle,Russell M. Nelson,2018-04-05,
111,Ulisses Soares,Presidency of the Seventy,Thomas S. Monson,2013-01-06,2018-03-31
111,Ulisses Soares,First Quorum of the Seventy,Gordon B. Hinckley,2005-04-02,2018-03-31
111,Ulisses Soares,Quorum of the Twelve Apostles,Russell M. Nelson,2018-03-31,
112,Patrick Kearon,Quorum of the Twelve Apostles,Russell M. Nelson,2023-12-07,
112,Patrick Kearon,LDS Church Apostle,Russell M. Nelson,2023-12-07,
112,Patrick Kearon,Presidency of the Seventy,Thomas S. Monson,2017-08-01,2023-12-07
112,Patrick Kearon,First Quorum of the Seventy,Thomas S. Monson,2010-04-03,2023-12-07
